wavelength_A,flux,ivar
3815.9260588094817,5.06147,0.14884062
3816.8060029306343,5.1417537,0.14805105
3817.6840541357556,6.6893597,0.15192895
3818.562307335403,5.1356688,0.16163546
3819.442859369643,4.1038256,0.16778329
3820.321517180123,4.95381,0.16914593
3821.202474884268,9.187187,0.16710547
3822.081537491985,6.587569,0.16336007
3822.962901052926,4.8805695,0.1608625
3823.8423686443693,8.240863,0.1559571
3824.7241382490856,2.2775311,0.17975476
3825.6040110108315,0.58801436,0.1920859
3826.48408618615,3.7823546,0.19147912
3827.366464965097,9.213886,0.17891805
3828.246945590631,5.506794,0.17129771
3829.129730881063,8.1822815,0.1570724
3830.010617143604,7.001826,0.1495586
3830.893809132801,2.9400556,0.14872047
3831.7751012192257,5.4969187,0.13834798
3832.6565960457365,7.927801,0.13098466
3833.5403981918244,5.4057307,0.106900714
3834.422299122584,6.5976167,0.11192477
3835.3065084359014,7.48768,0.12779637
3836.1888156580017,6.6913624,0.14302449
3837.0734323261304,7.008515,0.1352678
3837.9561460267496,9.099332,0.10501197
3838.839062794496,7.7960453,0.109900795
3839.724290603761,3.3393154,0.16405433
3840.6076141308436,2.5889044,0.1729488
3841.4932497641403,6.1815286,0.18476878
3842.376980237953,6.5687165,0.1940755
3843.2630238831666,4.7055883,0.20084278
3844.1471614911898,4.2800236,0.21092
3845.0315024939073,5.862148,0.18923569
3845.9181582660904,9.088858,0.17451823
3846.8029066842887,9.959046,0.16960202
3847.6899709383656,6.869199,0.17377944
3848.575126959741,6.012633,0.17468232
3849.4625998838987,8.478513,0.17334464
3850.3481636962338,7.455687,0.17711832
3851.2339312313597,6.601829,0.19866918
3852.1220172699104,9.543078,0.20223467
3853.0081928777204,4.56092,0.23245579
3853.896688057088,9.378891,0.21679309
3854.78327192558,8.5871,0.2202736
3855.6721764342556,6.0501747,0.23588364
3856.5591687515152,6.2352767,0.23704366
3857.4463651201922,9.262933,0.23130353
3858.3358837322767,8.544504,0.24637312
3859.2234888319,4.050995,0.26665333
3860.1134172447873,4.117372,0.27584264
3861.001431263659,3.2693076,0.27170548
3861.8917696661447,7.2130218,0.24101216
3862.780192792654,7.7976184,0.22622374
3863.668820299736,7.9104447,0.21421972
3864.5597737962416,9.160923,0.20622325
3865.448810693595,6.5069256,0.20892537
3866.3401746519544,7.2028713,0.20554876
3867.229621128185,9.081059,0.20235012
3868.121395737497,5.9848566,0.21444713
3869.0112519812974,6.503386,0.21275103
3869.9013129353575,7.806691,0.2133981
3870.7937036309,6.3917565,0.2269366
3871.6841746356195,3.495394,0.24745138
3872.576976455132,9.278348,0.23738746
3873.467857699421,4.91688,0.25367722
3874.3610708323085,9.356931,0.22702114
3875.252362505165,11.222313,0.21620588
3876.143859218499,4.503832,0.24518314
3877.0376894314263,6.815717,0.23663285
3877.929596856874,8.410115,0.23766395
3878.8238388569566,8.997801,0.23771937
3879.7161571837323,8.216,0.24158524
3880.6108111606804,5.258052,0.24833868
3881.5035405780864,7.231094,0.2368606
3882.396475366721,5.726127,0.24722306
3883.2917474191227,7.4475937,0.23749623
3884.1850935823913,6.328447,0.24169068
3885.080778086203,3.3424258,0.24642162
3885.9745358136256,9.33527,0.2244852
3886.8706329588636,7.576286,0.2318082
3887.7648024400473,1.5637468,0.27419904
3888.6591776237456,1.850137,0.2655135
3889.5558938414556,2.6529744,0.25269
3890.4506810633766,7.967463,0.22478051
3891.3478103978227,11.309732,0.20888083
3892.243009847793,12.439421,0.20076914
3893.1405524892984,12.006537,0.19815342
3894.0361643572305,10.535329,0.1930257
3894.9341204962057,9.96754,0.18626028
3895.8301449721007,9.843546,0.18918823
3896.726375577249,9.811802,0.19322418
3897.62495207299,11.720439,0.186852
3898.5215955711533,14.135637,0.18146797
3899.420586040659,10.55654,0.14181575
3900.317642622057,9.637226,0.13714583
3901.217047256046,12.624531,0.13470446
3902.114517110986,11.25605,0.18629864
3903.0121934276863,5.9699655,0.19429046
3903.91221941914,8.27772,0.18106467
3904.810309294894,11.546826,0.16299197
3905.710749927895,7.685079,0.1577958
3906.6092535532293,7.8488073,0.1585601
3907.510109018803,7.6294866,0.16334015
3908.4090265843315,7.585942,0.16637066
3909.3081509446642,11.222181,0.15674251
3910.2096287700156,13.918432,0.14995392
3911.109167356515,13.862961,0.15672313
3912.0110604922734,12.719915,0.16724864
3912.911013495773,11.486894,0.170551
3913.8133221332714,11.443356,0.18217827
3914.7136897446935,14.104247,0.17949852
3915.614264484501,16.288212,0.17729828
3916.517196485707,11.922173,0.18064202
3917.4181861198704,12.15442,0.17900911
3918.321534101421,10.349138,0.18837221
3919.2229388210817,7.3476253,0.2037493
3920.126702974619,8.889503,0.19531006
3921.028522971007,12.047192,0.1911787
3921.9305504298995,10.809909,0.19519454
3922.834938952694,7.227582,0.21143341
3923.7373819752092,5.93703,0.19385351
3924.6421871493676,12.654223,0.17746678
3925.5450459269555,10.204782,0.19002746
3926.4502679444286,10.3828335,0.19583513
3927.3535426686276,9.992036,0.19707419
3928.2570251899897,8.268367,0.2054036
3929.162872583891,5.296855,0.22434473
3930.066771339222,3.164211,0.18681861
3930.9730360565886,4.908506,0.17626017
3931.877351237648,6.4564996,0.22095694
3932.78403347074,0.095104046,0.24044171
3933.6887652693745,2.5254674,0.22756833
3934.5937052003706,4.4605265,0.2243898
3935.5010138186867,4.4626265,0.21457438
3936.4063706550796,5.954412,0.21267082
3937.314097270046,6.786698,0.16871858
3938.219871203905,6.0967875,0.15735957
3939.128016008093,5.184272,0.19553964
3940.034207231573,6.782528,0.18880342
3940.9406069231536,8.555122,0.17522469
3941.849379122989,5.4439607,0.1821677
3942.7561963924777,7.0584674,0.17440012
3943.665387263235,7.397633,0.17501889
3944.5726223030097,5.5535192,0.1854283
3945.48223203757,7.0154295,0.19421425
3946.389885040098,5.4512267,0.19319218
3947.297746847006,3.7094316,0.2033774
3948.207984989267,8.039972,0.18718676
3949.116265047679,10.328901,0.1743262
3950.026922536221,11.9966955,0.17590891
3950.9356210388255,15.11239,0.16173817
3951.8466980668404,5.539623,0.18655871
3952.7558152064144,14.071695,0.17223296
3953.6651414871912,14.425428,0.17915891
3954.5768479365934,9.2409725,0.19207212
3955.486593143557,12.616561,0.1840683
3956.398719615688,14.460459,0.16791558
3957.308883941837,15.381859,0.16027896
3958.221430630201,13.727479,0.16742633
3959.132014268624,10.680396,0.1712656
3960.044981366815,13.293177,0.16655728
3960.9559845106883,10.370821,0.17358162
3961.8671972296374,8.664513,0.18796015
3962.780795054978,8.176498,0.19072334
3963.6924275691954,4.850149,0.22075312
3964.606446288621,3.0824778,0.22002885
3965.518498791505,10.212062,0.1580068
3966.4329385989217,7.6941113,0.16053881
3967.3454112839613,4.196239,0.23376746
3968.2580938821434,6.6724215,0.22175913
3969.173165434137,6.404281,0.2227562
3970.086268504759,6.915081,0.20305738
3971.001761629783,4.7321625,0.21154538
3971.915285366557,4.75679,0.23679942
3972.831200258829,5.8651686,0.21801892
3973.7451448555557,7.0410447,0.2139004
3974.659299704035,9.604187,0.20260334
3975.5758473599535,10.046935,0.19491409
3976.4904233591387,11.510229,0.19198754
3977.4073932681276,11.551845,0.19336237
3978.3223906120415,9.937297,0.19681832
3979.239782968633,14.475116,0.18900067
3980.15520185139,14.8696575,0.19008671
3981.0708313250575,14.60869,0.19138043
3981.9888574660067,13.359885,0.19542934
3982.9049087697394,12.7246475,0.18465076
3983.8233578448962,13.271725,0.19889759
3984.73983117303,16.737494,0.18353821
3985.6587033772407,14.664679,0.1992909
3986.5755989242025,11.337503,0.19954462
3987.4927054017794,13.738774,0.19592156
3988.412212412707,16.84314,0.17977023
3989.329741400804,16.404833,0.17166181
3990.2496720281756,16.874222,0.17928293
3991.167623721442,11.134433,0.2011952
3992.0879781604176,15.379865,0.19283375
3993.006352753594,13.713572,0.19749884
3993.9249386176384,15.499445,0.1981228
3994.845928887339,17.258389,0.18837206
3995.764937943456,15.385682,0.19240819
3996.6863525129374,15.407894,0.19556984
3997.6057849560907,16.74908,0.1978715
3998.5276240208273,13.976195,0.19664162
3999.447480046071,16.597952,0.19668542
4000.367547682985,10.202564,0.2104492
4001.290023604107,16.171799,0.18999676
4002.2105151157443,19.471708,0.18376444
4003.133416021086,20.946707,0.18101452
4004.054331602727,20.876144,0.18945366
4004.9776576880777,17.769148,0.19920786
4005.8989975350905,17.051535,0.19508646
4006.8205493351243,15.853124,0.20389692
4007.7445133041747,9.735836,0.2110848
4008.6664896626858,13.292864,0.20277493
4009.5908793014987,19.1136,0.18076995
4010.5132804140812,17.820604,0.19109668
4011.4380959187624,16.272118,0.20900783
4012.3609219811,15.285824,0.20820737
4013.283960338361,19.846348,0.19660902
4014.209414755713,20.89139,0.19023162
4015.1328783563076,16.20642,0.21116956
4016.0587591300714,16.9674,0.20583853
4016.9826481699088,20.978243,0.20221819
4017.908955496506,16.76623,0.2083756
4018.833270171586,18.576765,0.21040255
4019.757797484042,15.429034,0.21879095
4020.684744753942,24.677412,0.19481917
4021.609697995693,16.871962,0.20767274
4022.5370723097603,16.394426,0.20400833
4023.462451677031,18.543234,0.20118116
4024.3902532320058,23.228039,0.19543257
4025.316058921112,21.349276,0.20706147
4026.2420775906007,14.501611,0.23306103
4027.170520121172,17.669144,0.22405791
4028.0969654070227,22.439684,0.21037374
4029.025835670627,20.246088,0.21469162
4029.952707769382,21.242407,0.20377116
4030.882005963077,17.17894,0.21940339
4031.8093050713683,15.235584,0.25698853
4032.7390313923,6.9997463,0.3229906
4033.666757706851,6.070185,0.3360877
4034.594697443621,8.831001,0.3229226
4035.5250660698825,12.605566,0.28116965
4036.4534333080496,13.836033,0.26194283
4037.384230554696,12.848773,0.26781127
4038.3130254912094,21.090487,0.2343099
4039.244251555706,18.715761,0.24510047
4040.1734743876063,20.921015,0.23606807
4041.1029109859983,18.012016,0.23395173
4042.034780391928,19.335926,0.22382905
4042.96464518132,17.502647,0.23614739
4043.8969438990434,20.477404,0.23219386
4044.827237076703,17.919754,0.25189823
4045.759965304004,10.595958,0.26073447
4046.6906870672897,10.027962,0.24240693
4047.6216229418937,8.088567,0.22694254
4048.554995548403,11.500349,0.23700055
4049.4863603047233,11.910358,0.2684126
4050.42016291555,18.56402,0.26646966
4051.351956751172,18.524456,0.27520922
4052.286189564419,21.870169,0.25831002
4053.2184126770194,19.108923,0.2728886
4054.1508502463216,15.285897,0.29184666
4055.085728478227,15.3620205,0.29758772
4056.0185956210753,16.952461,0.29758796
4056.953904550938,16.221075,0.31360108
4057.8872014652375,15.584757,0.32155344
4058.822941291481,16.11766,0.31533313
4059.756668175226,18.455853,0.3009091
4060.6906098616137,12.215045,0.32111192
4061.626996147642,16.71863,0.31790814
4062.5613681005216,13.9356,0.33908674
4063.4981857792677,14.905252,0.32972232
4064.4329881968633,11.804576,0.34055695
4065.37023746707,9.488462,0.34105033
4066.305470547696,13.43205,0.29840088
4067.2409187774633,16.64744,0.2788285
4068.1788155502604,14.176471,0.30611545
