wavelength_A,flux,ivar
3823.8423686443693,0.051705457,1.7156051
3824.7241382490856,-1.1632886,1.3300816
3825.6040110108315,-0.6907159,1.1521231
3826.48408618615,0.4197197,1.1149567
3827.366464965097,-0.029045856,1.3108968
3828.246945590631,-0.22554334,1.5194713
3829.129730881063,0.76799417,1.7459404
3830.010617143604,0.27768967,2.0442364
3830.893809132801,-0.030629897,2.0707605
3831.7751012192257,-0.25548226,2.1088607
3832.6565960457365,1.3880697,1.7148432
3833.5403981918244,0.75811106,1.8248627
3834.422299122584,0.0035390782,1.9767241
3835.3065084359014,-0.5886851,2.2222817
3836.1888156580017,-0.17887777,2.2616956
3837.0734323261304,0.16040409,2.2137363
3837.9561460267496,0.14948456,2.2436125
3838.839062794496,1.5779246,1.916917
3839.724290603761,-1.1443598,2.2934415
3840.6076141308436,-0.31043613,2.096614
3841.4932497641403,0.14187549,2.053146
3842.376980237953,-0.2379048,2.3918986
3843.2630238831666,-0.23320635,2.492988
3844.1471614911898,0.13189077,2.3620348
3845.0315024939073,0.32659292,2.2689514
3845.9181582660904,0.062308487,2.2574139
3846.8029066842887,-0.089432955,2.1612167
3847.6899709383656,0.8906727,1.7444658
3848.575126959741,0.66935617,1.5781564
3849.4625998838987,1.6605215,1.438761
3850.3481636962338,0.22102378,1.5644946
3851.2339312313597,-0.526865,1.7186012
3852.1220172699104,0.35231534,1.7580371
3853.0081928777204,-0.29097173,1.893289
3853.896688057088,-1.6021274,2.0948858
3854.78327192558,-0.2820958,2.0658257
3855.6721764342556,-0.41628137,2.2198386
3856.5591687515152,0.9058274,2.1885273
3857.4463651201922,-0.013774518,2.5757744
3858.3358837322767,-0.4272238,2.905328
3859.2234888319,-0.4184621,2.8029227
3860.1134172447873,0.02558092,2.5698452
3861.001431263659,0.35824397,2.3808348
3861.8917696661447,-0.04165619,2.43342
3862.780192792654,-0.6169124,2.746761
3863.668820299736,-0.37455845,2.5540578
3864.5597737962416,0.020525966,2.4430633
3865.448810693595,-0.03258187,2.5746272
3866.3401746519544,-0.22454205,2.5907364
3867.229621128185,-0.87574863,2.6376271
3868.121395737497,0.029443998,2.4442897
3869.0112519812974,0.018773315,2.6095943
3869.9013129353575,-0.3870415,2.840006
3870.7937036309,0.09890114,2.779198
3871.6841746356195,-0.25144657,3.0879326
3872.576976455132,0.25143623,3.1621077
3873.467857699421,-0.6003382,3.3845084
